fid,no,gender_code,age_code,dept_code,grade_code,ownbike_code,shared_bike_code,expense_code,WA_place_code,WA_min1_1,WA_min2_1,WA_min3_1,WA_min5_1,WA_freq_code,WB_place_code,WB_min1_1,WB_min2_1,WB_min3_1,WB_min5_1,WB_freq_code
239,qx2210,1,0.5,0.333333333,0,0.666666667,0.333333333,0.5,0,0.205236945,0.190258392,0.248309964,0.344707279,1,1,0.169287657,0.168784125,0.226741616,0.323936039,0
240,qx1549,1,0.5,0.333333333,0,0.666666667,0.333333333,0.333333333,0,0.205236945,0.190258392,0.248309964,0.344707279,1,1,0.169287657,0.168784125,0.226741616,0.323936039,0
241,qx2231,1,0.666666667,0.333333333,0,0.666666667,0.666666667,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,3,1,0.169287657,0.168784125,0.226741616,0.323936039,1
242,qx2268,1,0.666666667,0.333333333,0,0.666666667,0.666666667,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.169287657,0.168784125,0.226741616,0.323936039,1
243,qx2117,1,0.666666667,0.333333333,0,0.333333333,1,0.833333333,0,0.205236945,0.190258392,0.248309964,0.344707279,5,1,0.169287657,0.168784125,0.226741616,0.323936039,0
244,qx1188,1,0.666666667,0.333333333,0,0.666666667,1,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,4,1,0.169287657,0.168784125,0.226741616,0.323936039,0
245,qx2101,1,1,0.333333333,0,0.666666667,0.666666667,0.5,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.169287657,0.168784125,0.226741616,0.323936039,0
246,qx2087,1,1,0.333333333,0,0.666666667,0.666666667,0.833333333,0,0.205236945,0.190258392,0.248309964,0.344707279,4,1,0.169287657,0.168784125,0.226741616,0.323936039,0
247,qx2462,0,0.666666667,0.333333333,0,0.666666667,1,0.333333333,0,0.143028733,0.108883105,0.150344372,0.220016259,3,1,0.504802677,0.344905781,0.390709735,0.435637592,1
248,qx1999,0,0.666666667,0.333333333,1,1,0.666666667,0.5,0,0.282183303,0.17432322,0.196111704,0.242886788,1,1,0.441573951,0.270078155,0.281431422,0.330482672,0
249,qx2083,0,0.666666667,0.333333333,0,0.666666667,0.666666667,0.666666667,0,0.143028733,0.108883105,0.150344372,0.220016259,5,1,0.441573951,0.270078155,0.281431422,0.330482672,0
250,qx2410,0,0.666666667,0.333333333,0,0.666666667,0.666666667,0.833333333,0,0.143028733,0.108883105,0.150344372,0.220016259,0,1,0.441573951,0.270078155,0.281431422,0.330482672,0
251,qx112,0,0.833333333,0.333333333,1,1,0.666666667,0.833333333,0,0.282183303,0.17432322,0.196111704,0.242886788,3,1,0.441573951,0.270078155,0.281431422,0.330482672,0
252,qx57,0,0.833333333,0.333333333,1,0.666666667,0.666666667,0.666666667,0,0.282183303,0.17432322,0.196111704,0.242886788,2,1,0.441573951,0.270078155,0.281431422,0.330482672,0
253,qx27,0,0.833333333,0.333333333,1,0.666666667,0.666666667,0.833333333,0,0.282183303,0.17432322,0.196111704,0.242886788,1,1,0.441573951,0.270078155,0.281431422,0.330482672,0
254,qx50,0,1,0.333333333,1,0.333333333,0.333333333,0.5,0,0.282183303,0.17432322,0.196111704,0.242886788,5,1,0.441573951,0.270078155,0.281431422,0.330482672,2
255,qx52,0,1,0.333333333,1,0.666666667,1,0.5,0,0.282183303,0.17432322,0.196111704,0.242886788,2,1,0.441573951,0.270078155,0.281431422,0.330482672,0
256,qx217,0,1,0.333333333,1,0.666666667,0.666666667,0.666666667,0,0.188535939,0.175008059,0.234626009,0.330164516,1,1,0.441573951,0.270078155,0.281431422,0.330482672,0
257,qx203,0,1,0.333333333,1,0.666666667,0.666666667,0.333333333,0,0.198843693,0.164419845,0.193514577,0.250304582,1,1,0.441573951,0.270078155,0.281431422,0.330482672,0
258,qx78,1,0.666666667,0.333333333,1,0.666666667,1,0.666666667,0,0.090812393,0.097325425,0.123714282,0.194138644,0,1,0.441573951,0.270078155,0.281431422,0.330482672,0
